Training model 1/3
Epoch:1/140 Batch:1/150 Train Loss:0.9184
Epoch:1/140 Batch:2/150 Train Loss:1.3972
Epoch:1/140 Batch:3/150 Train Loss:0.9412
Epoch:1/140 Batch:4/150 Train Loss:0.6636
Epoch:1/140 Batch:5/150 Train Loss:0.9333
Epoch:1/140 Batch:6/150 Train Loss:0.9777
Epoch:1/140 Batch:7/150 Train Loss:0.7806
Epoch:1/140 Batch:8/150 Train Loss:0.9639
Epoch:1/140 Batch:9/150 Train Loss:0.6510
Epoch:1/140 Batch:10/150 Train Loss:0.4653
Epoch:1/140 Batch:11/150 Train Loss:0.9718
Epoch:1/140 Batch:12/150 Train Loss:0.6213
Epoch:1/140 Batch:13/150 Train Loss:0.6883
Epoch:1/140 Batch:14/150 Train Loss:0.6725
Epoch:1/140 Batch:15/150 Train Loss:0.8000
Epoch:1/140 Batch:16/150 Train Loss:0.5206
Epoch:1/140 Batch:17/150 Train Loss:0.8056
Epoch:1/140 Batch:18/150 Train Loss:0.9069
Epoch:1/140 Batch:19/150 Train Loss:0.7220
Epoch:1/140 Batch:20/150 Train Loss:0.8065
Epoch:1/140 Batch:21/150 Train Loss:0.7828
Epoch:1/140 Batch:22/150 Train Loss:0.6875
Epoch:1/140 Batch:23/150 Train Loss:0.6277
Epoch:1/140 Batch:24/150 Train Loss:0.6690
Epoch:1/140 Batch:25/150 Train Loss:0.6695
Epoch:1/140 Batch:26/150 Train Loss:0.6840
Epoch:1/140 Batch:27/150 Train Loss:0.6026
Epoch:1/140 Batch:28/150 Train Loss:0.6683
Epoch:1/140 Batch:29/150 Train Loss:0.6584
Epoch:1/140 Batch:30/150 Train Loss:0.9090
Epoch:1/140 Batch:31/150 Train Loss:0.6151
Epoch:1/140 Batch:32/150 Train Loss:0.6009
Epoch:1/140 Batch:33/150 Train Loss:0.5532
Epoch:1/140 Batch:34/150 Train Loss:0.5575
Epoch:1/140 Batch:35/150 Train Loss:0.8467
Epoch:1/140 Batch:36/150 Train Loss:0.6178
Epoch:1/140 Batch:37/150 Train Loss:0.6610
Epoch:1/140 Batch:38/150 Train Loss:0.4512
Epoch:1/140 Batch:39/150 Train Loss:0.8362
Epoch:1/140 Batch:40/150 Train Loss:0.7793
Epoch:1/140 Batch:41/150 Train Loss:0.5017
Epoch:1/140 Batch:42/150 Train Loss:0.6038
Epoch:1/140 Batch:43/150 Train Loss:0.6670
Epoch:1/140 Batch:44/150 Train Loss:0.4089
Epoch:1/140 Batch:45/150 Train Loss:0.6236
Epoch:1/140 Batch:46/150 Train Loss:0.8602
Epoch:1/140 Batch:47/150 Train Loss:0.5648
Epoch:1/140 Batch:48/150 Train Loss:0.7834
