Training model 1/3
Epoch:1/80 Batch:1/106 Train Loss:3.5780
Epoch:1/80 Batch:2/106 Train Loss:2.9520
Epoch:1/80 Batch:3/106 Train Loss:2.1501
Epoch:1/80 Batch:4/106 Train Loss:2.2374
Epoch:1/80 Batch:5/106 Train Loss:2.5991
Epoch:1/80 Batch:6/106 Train Loss:2.2201
Epoch:1/80 Batch:7/106 Train Loss:2.2484
Epoch:1/80 Batch:8/106 Train Loss:2.1859
Epoch:1/80 Batch:9/106 Train Loss:1.9347
Epoch:1/80 Batch:10/106 Train Loss:1.8491
Epoch:1/80 Batch:11/106 Train Loss:2.0968
Epoch:1/80 Batch:12/106 Train Loss:1.6060
Epoch:1/80 Batch:13/106 Train Loss:1.5632
Epoch:1/80 Batch:14/106 Train Loss:1.2993
Epoch:1/80 Batch:15/106 Train Loss:1.4545
Epoch:1/80 Batch:16/106 Train Loss:1.3567
Epoch:1/80 Batch:17/106 Train Loss:1.6031
Epoch:1/80 Batch:18/106 Train Loss:1.7157
Epoch:1/80 Batch:19/106 Train Loss:1.3098
Epoch:1/80 Batch:20/106 Train Loss:2.0251
Epoch:1/80 Batch:21/106 Train Loss:1.5738
Epoch:1/80 Batch:22/106 Train Loss:1.4006
Epoch:1/80 Batch:23/106 Train Loss:1.4023
Epoch:1/80 Batch:24/106 Train Loss:1.4953
Epoch:1/80 Batch:25/106 Train Loss:1.3983
Epoch:1/80 Batch:26/106 Train Loss:1.4683
Epoch:1/80 Batch:27/106 Train Loss:1.4332
Epoch:1/80 Batch:28/106 Train Loss:1.3280
Epoch:1/80 Batch:29/106 Train Loss:1.3485
Epoch:1/80 Batch:30/106 Train Loss:1.4302
Epoch:1/80 Batch:31/106 Train Loss:1.5486
Epoch:1/80 Batch:32/106 Train Loss:1.7540
Epoch:1/80 Batch:33/106 Train Loss:1.6429
Epoch:1/80 Batch:34/106 Train Loss:1.3281
Epoch:1/80 Batch:35/106 Train Loss:1.5299
Epoch:1/80 Batch:36/106 Train Loss:1.3148
Epoch:1/80 Batch:37/106 Train Loss:1.4541
Epoch:1/80 Batch:38/106 Train Loss:1.3151
Epoch:1/80 Batch:39/106 Train Loss:1.5060
Epoch:1/80 Batch:40/106 Train Loss:1.5182
Epoch:1/80 Batch:41/106 Train Loss:1.1428
Epoch:1/80 Batch:42/106 Train Loss:1.1825
Epoch:1/80 Batch:43/106 Train Loss:1.1762
Epoch:1/80 Batch:44/106 Train Loss:1.4955
Epoch:1/80 Batch:45/106 Train Loss:1.3822
Epoch:1/80 Batch:46/106 Train Loss:1.2804
Epoch:1/80 Batch:47/106 Train Loss:1.2804
Epoch:1/80 Batch:48/106 Train Loss:1.4469
Epoch:1/80 Batch:49/106 Train Loss:1.7537
Epoch:1/80 Batch:50/106 Train Loss:1.1105
Epoch:1/80 Batch:51/106 Train Loss:1.4577
Epoch:1/80 Batch:52/106 Train Loss:1.3222
Epoch:1/80 Batch:53/106 Train Loss:1.4696
Epoch:1/80 Batch:54/106 Train Loss:1.3539
Epoch:1/80 Batch:55/106 Train Loss:1.1580
Epoch:1/80 Batch:56/106 Train Loss:1.2837
Epoch:1/80 Batch:57/106 Train Loss:1.2439
Epoch:1/80 Batch:58/106 Train Loss:1.2475
Epoch:1/80 Batch:59/106 Train Loss:1.5666
Epoch:1/80 Batch:60/106 Train Loss:1.4261
Epoch:1/80 Batch:61/106 Train Loss:1.0847
Epoch:1/80 Batch:62/106 Train Loss:1.4976
Epoch:1/80 Batch:63/106 Train Loss:1.6959
Epoch:1/80 Batch:64/106 Train Loss:1.1427
Epoch:1/80 Batch:65/106 Train Loss:1.4167
Epoch:1/80 Batch:66/106 Train Loss:1.0668
Epoch:1/80 Batch:67/106 Train Loss:1.0927
Epoch:1/80 Batch:68/106 Train Loss:1.3730
Epoch:1/80 Batch:69/106 Train Loss:1.1498
Epoch:1/80 Batch:70/106 Train Loss:1.4978
Epoch:1/80 Batch:71/106 Train Loss:1.2308
Epoch:1/80 Batch:72/106 Train Loss:1.0612
Epoch:1/80 Batch:73/106 Train Loss:1.3494
Epoch:1/80 Batch:74/106 Train Loss:1.4018
Epoch:1/80 Batch:75/106 Train Loss:1.5844
Epoch:1/80 Batch:76/106 Train Loss:1.3127
Epoch:1/80 Batch:77/106 Train Loss:1.3180
Epoch:1/80 Batch:78/106 Train Loss:1.3994
Epoch:1/80 Batch:79/106 Train Loss:1.2576
Epoch:1/80 Batch:80/106 Train Loss:1.1595
Epoch:1/80 Batch:81/106 Train Loss:1.3966
Epoch:1/80 Batch:82/106 Train Loss:1.4226
Epoch:1/80 Batch:83/106 Train Loss:1.0319
Epoch:1/80 Batch:84/106 Train Loss:1.3464
Epoch:1/80 Batch:85/106 Train Loss:1.2068
Epoch:1/80 Batch:86/106 Train Loss:1.0808
Epoch:1/80 Batch:87/106 Train Loss:1.2328
Epoch:1/80 Batch:88/106 Train Loss:1.4009
Epoch:1/80 Batch:89/106 Train Loss:1.4102
Epoch:1/80 Batch:90/106 Train Loss:1.4442
Epoch:1/80 Batch:91/106 Train Loss:1.2592
Epoch:1/80 Batch:92/106 Train Loss:1.0384
Epoch:1/80 Batch:93/106 Train Loss:1.4651
Epoch:1/80 Batch:94/106 Train Loss:1.0935
Epoch:1/80 Batch:95/106 Train Loss:1.4293
Epoch:1/80 Batch:96/106 Train Loss:1.1981
Epoch:1/80 Batch:97/106 Train Loss:1.3381
Epoch:1/80 Batch:98/106 Train Loss:1.2672
Epoch:1/80 Batch:99/106 Train Loss:0.9087
Epoch:1/80 Batch:100/106 Train Loss:1.0607
Epoch:1/80 Batch:101/106 Train Loss:1.2497
Epoch:1/80 Batch:102/106 Train Loss:1.0166
Epoch:1/80 Batch:103/106 Train Loss:1.1395
Epoch:1/80 Batch:104/106 Train Loss:1.2688
Epoch:1/80 Batch:105/106 Train Loss:1.3055
Epoch:1/80 Batch:106/106 Train Loss:3.0157
Epoch:2/80 Batch:1/106 Train Loss:1.3302
Epoch:2/80 Batch:2/106 Train Loss:1.3583
Epoch:2/80 Batch:3/106 Train Loss:1.1483
Epoch:2/80 Batch:4/106 Train Loss:1.2327
Epoch:2/80 Batch:5/106 Train Loss:1.0708
Epoch:2/80 Batch:6/106 Train Loss:1.2919
Epoch:2/80 Batch:7/106 Train Loss:1.3635
Epoch:2/80 Batch:8/106 Train Loss:1.0767
Epoch:2/80 Batch:9/106 Train Loss:1.1766
Epoch:2/80 Batch:10/106 Train Loss:1.3221
Epoch:2/80 Batch:11/106 Train Loss:1.1916
Epoch:2/80 Batch:12/106 Train Loss:1.1809
Epoch:2/80 Batch:13/106 Train Loss:1.1955
Epoch:2/80 Batch:14/106 Train Loss:1.0937
Epoch:2/80 Batch:15/106 Train Loss:1.0921
Epoch:2/80 Batch:16/106 Train Loss:1.2009
Epoch:2/80 Batch:17/106 Train Loss:1.2947
Epoch:2/80 Batch:18/106 Train Loss:1.1089
Epoch:2/80 Batch:19/106 Train Loss:0.9615
Epoch:2/80 Batch:20/106 Train Loss:1.3561
Epoch:2/80 Batch:21/106 Train Loss:1.0672
Epoch:2/80 Batch:22/106 Train Loss:1.1743
Epoch:2/80 Batch:23/106 Train Loss:1.1550
Epoch:2/80 Batch:24/106 Train Loss:1.2291
Epoch:2/80 Batch:25/106 Train Loss:1.2599
Epoch:2/80 Batch:26/106 Train Loss:1.1877
Epoch:2/80 Batch:27/106 Train Loss:1.2344
Epoch:2/80 Batch:28/106 Train Loss:1.3078
Epoch:2/80 Batch:29/106 Train Loss:1.2414
Epoch:2/80 Batch:30/106 Train Loss:1.2347
Epoch:2/80 Batch:31/106 Train Loss:1.2475
Epoch:2/80 Batch:32/106 Train Loss:1.0006
Epoch:2/80 Batch:33/106 Train Loss:1.5395
Epoch:2/80 Batch:34/106 Train Loss:1.1742
Epoch:2/80 Batch:35/106 Train Loss:1.0708
Epoch:2/80 Batch:36/106 Train Loss:1.2858
Epoch:2/80 Batch:37/106 Train Loss:1.2182
Epoch:2/80 Batch:38/106 Train Loss:1.2409
Time limit reached. Saving model 0.
Model 1 trained. Best validation accuracy: 0.3928 at Epoch 1. Total training time: 126.1781 minutes.
Extracting train features...
Extracting val features...
Training model 2/3
Epoch:1/80 Batch:1/106 Train Loss:4.3818
Epoch:1/80 Batch:2/106 Train Loss:3.1655
Epoch:1/80 Batch:3/106 Train Loss:2.7517
Epoch:1/80 Batch:4/106 Train Loss:2.5024
Epoch:1/80 Batch:5/106 Train Loss:2.3075
Epoch:1/80 Batch:6/106 Train Loss:2.3669
Epoch:1/80 Batch:7/106 Train Loss:2.3499
Epoch:1/80 Batch:8/106 Train Loss:1.8303
Epoch:1/80 Batch:9/106 Train Loss:1.7195
Epoch:1/80 Batch:10/106 Train Loss:1.8636
Epoch:1/80 Batch:11/106 Train Loss:1.7595
Epoch:1/80 Batch:12/106 Train Loss:1.7449
Epoch:1/80 Batch:13/106 Train Loss:1.9227
Epoch:1/80 Batch:14/106 Train Loss:2.4480
Epoch:1/80 Batch:15/106 Train Loss:2.1287
Epoch:1/80 Batch:16/106 Train Loss:1.7279
Epoch:1/80 Batch:17/106 Train Loss:2.0395
Epoch:1/80 Batch:18/106 Train Loss:1.5615
Epoch:1/80 Batch:19/106 Train Loss:2.1398
Epoch:1/80 Batch:20/106 Train Loss:1.5107
Epoch:1/80 Batch:21/106 Train Loss:1.9828
Epoch:1/80 Batch:22/106 Train Loss:1.5465
Epoch:1/80 Batch:23/106 Train Loss:1.4652
Epoch:1/80 Batch:24/106 Train Loss:1.2349
Epoch:1/80 Batch:25/106 Train Loss:1.7112
Epoch:1/80 Batch:26/106 Train Loss:1.4579
Epoch:1/80 Batch:27/106 Train Loss:1.3863
Epoch:1/80 Batch:28/106 Train Loss:1.4080
Epoch:1/80 Batch:29/106 Train Loss:1.3384
Epoch:1/80 Batch:30/106 Train Loss:1.5074
Epoch:1/80 Batch:31/106 Train Loss:1.3874
Epoch:1/80 Batch:32/106 Train Loss:1.4189
Epoch:1/80 Batch:33/106 Train Loss:1.3665
Epoch:1/80 Batch:34/106 Train Loss:1.2982
Epoch:1/80 Batch:35/106 Train Loss:1.1699
Epoch:1/80 Batch:36/106 Train Loss:1.4203
Epoch:1/80 Batch:37/106 Train Loss:1.2850
Epoch:1/80 Batch:38/106 Train Loss:1.2955
Epoch:1/80 Batch:39/106 Train Loss:1.3536
Epoch:1/80 Batch:40/106 Train Loss:1.4999
Epoch:1/80 Batch:41/106 Train Loss:1.4138
Epoch:1/80 Batch:42/106 Train Loss:1.5790
Epoch:1/80 Batch:43/106 Train Loss:1.2050
Epoch:1/80 Batch:44/106 Train Loss:1.4156
Epoch:1/80 Batch:45/106 Train Loss:1.2462
Epoch:1/80 Batch:46/106 Train Loss:1.1209
Epoch:1/80 Batch:47/106 Train Loss:1.2582
Epoch:1/80 Batch:48/106 Train Loss:1.2733
Epoch:1/80 Batch:49/106 Train Loss:0.9965
Epoch:1/80 Batch:50/106 Train Loss:1.5353
Epoch:1/80 Batch:51/106 Train Loss:1.3250
Epoch:1/80 Batch:52/106 Train Loss:1.3524
Epoch:1/80 Batch:53/106 Train Loss:1.0245
Epoch:1/80 Batch:54/106 Train Loss:1.4256
Epoch:1/80 Batch:55/106 Train Loss:1.3718
Epoch:1/80 Batch:56/106 Train Loss:1.2160
Epoch:1/80 Batch:57/106 Train Loss:1.4584
Epoch:1/80 Batch:58/106 Train Loss:1.3946
Epoch:1/80 Batch:59/106 Train Loss:1.2634
Epoch:1/80 Batch:60/106 Train Loss:1.3820
Epoch:1/80 Batch:61/106 Train Loss:1.1944
Epoch:1/80 Batch:62/106 Train Loss:1.1260
Epoch:1/80 Batch:63/106 Train Loss:1.2207
Epoch:1/80 Batch:64/106 Train Loss:1.3070
Epoch:1/80 Batch:65/106 Train Loss:1.2844
Epoch:1/80 Batch:66/106 Train Loss:1.0950
Epoch:1/80 Batch:67/106 Train Loss:1.1785
Epoch:1/80 Batch:68/106 Train Loss:1.6766
Epoch:1/80 Batch:69/106 Train Loss:1.5182
Epoch:1/80 Batch:70/106 Train Loss:0.9794
Epoch:1/80 Batch:71/106 Train Loss:1.2623
Epoch:1/80 Batch:72/106 Train Loss:1.4715
Epoch:1/80 Batch:73/106 Train Loss:1.5918
Epoch:1/80 Batch:74/106 Train Loss:1.0486
Epoch:1/80 Batch:75/106 Train Loss:1.3800
Epoch:1/80 Batch:76/106 Train Loss:1.2194
Epoch:1/80 Batch:77/106 Train Loss:1.2525
Epoch:1/80 Batch:78/106 Train Loss:1.2308
Epoch:1/80 Batch:79/106 Train Loss:1.2491
Epoch:1/80 Batch:80/106 Train Loss:1.3848
Epoch:1/80 Batch:81/106 Train Loss:1.3299
Epoch:1/80 Batch:82/106 Train Loss:1.1908
Epoch:1/80 Batch:83/106 Train Loss:1.3673
Epoch:1/80 Batch:84/106 Train Loss:1.0964
Epoch:1/80 Batch:85/106 Train Loss:1.3571
Epoch:1/80 Batch:86/106 Train Loss:1.1587
Epoch:1/80 Batch:87/106 Train Loss:1.1340
Epoch:1/80 Batch:88/106 Train Loss:1.4293
Epoch:1/80 Batch:89/106 Train Loss:1.5223
Epoch:1/80 Batch:90/106 Train Loss:1.2886
Epoch:1/80 Batch:91/106 Train Loss:1.2143
Epoch:1/80 Batch:92/106 Train Loss:1.1272
Epoch:1/80 Batch:93/106 Train Loss:1.2663
Epoch:1/80 Batch:94/106 Train Loss:1.5734
Epoch:1/80 Batch:95/106 Train Loss:1.3605
Epoch:1/80 Batch:96/106 Train Loss:1.1161
Epoch:1/80 Batch:97/106 Train Loss:1.3170
Epoch:1/80 Batch:98/106 Train Loss:1.2361
Epoch:1/80 Batch:99/106 Train Loss:1.1356
Epoch:1/80 Batch:100/106 Train Loss:1.3320
Epoch:1/80 Batch:101/106 Train Loss:1.4141
Epoch:1/80 Batch:102/106 Train Loss:1.2985
Epoch:1/80 Batch:103/106 Train Loss:1.1451
Epoch:1/80 Batch:104/106 Train Loss:1.0380
Epoch:1/80 Batch:105/106 Train Loss:1.1479
Epoch:1/80 Batch:106/106 Train Loss:2.4764
Epoch:2/80 Batch:1/106 Train Loss:1.1872
Epoch:2/80 Batch:2/106 Train Loss:1.1141
Epoch:2/80 Batch:3/106 Train Loss:1.2285
Epoch:2/80 Batch:4/106 Train Loss:1.1273
Epoch:2/80 Batch:5/106 Train Loss:1.2232
Epoch:2/80 Batch:6/106 Train Loss:1.1217
Epoch:2/80 Batch:7/106 Train Loss:1.0490
Epoch:2/80 Batch:8/106 Train Loss:1.4729
Epoch:2/80 Batch:9/106 Train Loss:1.5574
Epoch:2/80 Batch:10/106 Train Loss:1.2473
Epoch:2/80 Batch:11/106 Train Loss:1.2722
Epoch:2/80 Batch:12/106 Train Loss:1.1382
Epoch:2/80 Batch:13/106 Train Loss:1.5240
Epoch:2/80 Batch:14/106 Train Loss:1.3565
Epoch:2/80 Batch:15/106 Train Loss:1.2974
Epoch:2/80 Batch:16/106 Train Loss:1.1438
Epoch:2/80 Batch:17/106 Train Loss:1.3175
Epoch:2/80 Batch:18/106 Train Loss:1.1993
Epoch:2/80 Batch:19/106 Train Loss:1.5942
Epoch:2/80 Batch:20/106 Train Loss:1.2453
Epoch:2/80 Batch:21/106 Train Loss:1.1949
Epoch:2/80 Batch:22/106 Train Loss:1.0581
Epoch:2/80 Batch:23/106 Train Loss:1.0619
Epoch:2/80 Batch:24/106 Train Loss:1.2027
Epoch:2/80 Batch:25/106 Train Loss:1.0293
Epoch:2/80 Batch:26/106 Train Loss:0.9878
Epoch:2/80 Batch:27/106 Train Loss:0.8716
Epoch:2/80 Batch:28/106 Train Loss:1.5373
Epoch:2/80 Batch:29/106 Train Loss:1.3527
Epoch:2/80 Batch:30/106 Train Loss:1.1422
Epoch:2/80 Batch:31/106 Train Loss:1.6122
Epoch:2/80 Batch:32/106 Train Loss:1.2904
Epoch:2/80 Batch:33/106 Train Loss:0.9413
Epoch:2/80 Batch:34/106 Train Loss:1.0328
Epoch:2/80 Batch:35/106 Train Loss:1.2978
Epoch:2/80 Batch:36/106 Train Loss:1.2656
Time limit reached. Saving model 1.
Model 2 trained. Best validation accuracy: 0.4225 at Epoch 1. Total training time: 126.5699 minutes.
Extracting train features...
Extracting val features...
Training model 3/3
Epoch:1/80 Batch:1/106 Train Loss:3.4134
Epoch:1/80 Batch:2/106 Train Loss:2.5158
Epoch:1/80 Batch:3/106 Train Loss:2.3093
