Training model 1/3
Epoch:1/80 Batch:1/106 Train Loss:4.7035
Epoch:1/80 Batch:2/106 Train Loss:3.6417
Epoch:1/80 Batch:3/106 Train Loss:2.7000
Epoch:1/80 Batch:4/106 Train Loss:2.2578
Epoch:1/80 Batch:5/106 Train Loss:2.5975
Epoch:1/80 Batch:6/106 Train Loss:1.7954
Epoch:1/80 Batch:7/106 Train Loss:1.6069
Epoch:1/80 Batch:8/106 Train Loss:1.5846
Epoch:1/80 Batch:9/106 Train Loss:1.5565
Epoch:1/80 Batch:10/106 Train Loss:1.8148
Epoch:1/80 Batch:11/106 Train Loss:1.5857
Epoch:1/80 Batch:12/106 Train Loss:1.7146
Epoch:1/80 Batch:13/106 Train Loss:2.0305
Epoch:1/80 Batch:14/106 Train Loss:1.5877
Epoch:1/80 Batch:15/106 Train Loss:1.6663
Epoch:1/80 Batch:16/106 Train Loss:1.4168
Epoch:1/80 Batch:17/106 Train Loss:1.5361
Epoch:1/80 Batch:18/106 Train Loss:1.5072
Epoch:1/80 Batch:19/106 Train Loss:1.3074
Epoch:1/80 Batch:20/106 Train Loss:2.1072
Epoch:1/80 Batch:21/106 Train Loss:1.7842
Epoch:1/80 Batch:22/106 Train Loss:1.5376
Epoch:1/80 Batch:23/106 Train Loss:1.2808
Epoch:1/80 Batch:24/106 Train Loss:1.6504
Epoch:1/80 Batch:25/106 Train Loss:1.2926
Epoch:1/80 Batch:26/106 Train Loss:1.8019
Epoch:1/80 Batch:27/106 Train Loss:1.4018
Epoch:1/80 Batch:28/106 Train Loss:1.5625
Epoch:1/80 Batch:29/106 Train Loss:1.3269
Epoch:1/80 Batch:30/106 Train Loss:1.7055
Epoch:1/80 Batch:31/106 Train Loss:1.2606
Epoch:1/80 Batch:32/106 Train Loss:1.5892
Epoch:1/80 Batch:33/106 Train Loss:1.2404
Epoch:1/80 Batch:34/106 Train Loss:1.3307
Epoch:1/80 Batch:35/106 Train Loss:1.3674
Epoch:1/80 Batch:36/106 Train Loss:1.4549
Epoch:1/80 Batch:37/106 Train Loss:1.4967
Epoch:1/80 Batch:38/106 Train Loss:1.6808
Epoch:1/80 Batch:39/106 Train Loss:1.3143
Epoch:1/80 Batch:40/106 Train Loss:1.6138
Epoch:1/80 Batch:41/106 Train Loss:1.2332
Epoch:1/80 Batch:42/106 Train Loss:1.5160
Epoch:1/80 Batch:43/106 Train Loss:1.3579
Epoch:1/80 Batch:44/106 Train Loss:1.3603
Epoch:1/80 Batch:45/106 Train Loss:1.4248
Epoch:1/80 Batch:46/106 Train Loss:1.4674
Epoch:1/80 Batch:47/106 Train Loss:1.5022
Epoch:1/80 Batch:48/106 Train Loss:1.1241
Epoch:1/80 Batch:49/106 Train Loss:1.1134
Epoch:1/80 Batch:50/106 Train Loss:1.3194
Epoch:1/80 Batch:51/106 Train Loss:1.0155
Epoch:1/80 Batch:52/106 Train Loss:1.1017
Epoch:1/80 Batch:53/106 Train Loss:1.3901
Epoch:1/80 Batch:54/106 Train Loss:1.1900
Epoch:1/80 Batch:55/106 Train Loss:1.3465
Epoch:1/80 Batch:56/106 Train Loss:1.2026
Epoch:1/80 Batch:57/106 Train Loss:1.3794
Epoch:1/80 Batch:58/106 Train Loss:1.4783
Epoch:1/80 Batch:59/106 Train Loss:1.2375
Epoch:1/80 Batch:60/106 Train Loss:1.6561
Epoch:1/80 Batch:61/106 Train Loss:1.1908
Epoch:1/80 Batch:62/106 Train Loss:1.2287
Epoch:1/80 Batch:63/106 Train Loss:1.3251
Epoch:1/80 Batch:64/106 Train Loss:1.3182
Epoch:1/80 Batch:65/106 Train Loss:1.2874
Epoch:1/80 Batch:66/106 Train Loss:1.3080
Epoch:1/80 Batch:67/106 Train Loss:1.0877
Epoch:1/80 Batch:68/106 Train Loss:0.9880
Epoch:1/80 Batch:69/106 Train Loss:1.3922
Epoch:1/80 Batch:70/106 Train Loss:1.6324
Epoch:1/80 Batch:71/106 Train Loss:1.0881
Epoch:1/80 Batch:72/106 Train Loss:1.0713
Epoch:1/80 Batch:73/106 Train Loss:1.7043
Epoch:1/80 Batch:74/106 Train Loss:1.3047
Epoch:1/80 Batch:75/106 Train Loss:1.1058
Epoch:1/80 Batch:76/106 Train Loss:1.2291
Epoch:1/80 Batch:77/106 Train Loss:1.2548
Epoch:1/80 Batch:78/106 Train Loss:1.2579
Epoch:1/80 Batch:79/106 Train Loss:1.2194
Epoch:1/80 Batch:80/106 Train Loss:1.2111
Epoch:1/80 Batch:81/106 Train Loss:1.4073
Epoch:1/80 Batch:82/106 Train Loss:1.1262
Epoch:1/80 Batch:83/106 Train Loss:1.3872
Epoch:1/80 Batch:84/106 Train Loss:1.2192
Epoch:1/80 Batch:85/106 Train Loss:0.9391
Epoch:1/80 Batch:86/106 Train Loss:1.4353
Epoch:1/80 Batch:87/106 Train Loss:1.0280
Epoch:1/80 Batch:88/106 Train Loss:1.0174
Epoch:1/80 Batch:89/106 Train Loss:1.2102
Epoch:1/80 Batch:90/106 Train Loss:1.3957
Epoch:1/80 Batch:91/106 Train Loss:1.1744
Epoch:1/80 Batch:92/106 Train Loss:1.1207
Epoch:1/80 Batch:93/106 Train Loss:1.4656
Epoch:1/80 Batch:94/106 Train Loss:1.4485
Epoch:1/80 Batch:95/106 Train Loss:0.9301
Epoch:1/80 Batch:96/106 Train Loss:1.1513
Epoch:1/80 Batch:97/106 Train Loss:1.3397
Epoch:1/80 Batch:98/106 Train Loss:1.4679
Epoch:1/80 Batch:99/106 Train Loss:1.3739
Epoch:1/80 Batch:100/106 Train Loss:1.1550
Epoch:1/80 Batch:101/106 Train Loss:1.1940
Epoch:1/80 Batch:102/106 Train Loss:1.2412
Epoch:1/80 Batch:103/106 Train Loss:1.2989
Epoch:1/80 Batch:104/106 Train Loss:1.2384
Epoch:1/80 Batch:105/106 Train Loss:1.3672
Epoch:1/80 Batch:106/106 Train Loss:2.2629
Epoch:2/80 Batch:1/106 Train Loss:1.2048
Epoch:2/80 Batch:2/106 Train Loss:1.0555
Epoch:2/80 Batch:3/106 Train Loss:1.0506
Epoch:2/80 Batch:4/106 Train Loss:1.0879
Epoch:2/80 Batch:5/106 Train Loss:1.1082
Epoch:2/80 Batch:6/106 Train Loss:1.0626
Epoch:2/80 Batch:7/106 Train Loss:1.0698
Epoch:2/80 Batch:8/106 Train Loss:0.9428
Epoch:2/80 Batch:9/106 Train Loss:0.9992
Epoch:2/80 Batch:10/106 Train Loss:1.1822
Epoch:2/80 Batch:11/106 Train Loss:0.8971
Epoch:2/80 Batch:12/106 Train Loss:1.2562
Epoch:2/80 Batch:13/106 Train Loss:1.1709
Epoch:2/80 Batch:14/106 Train Loss:1.0957
Epoch:2/80 Batch:15/106 Train Loss:1.6830
Epoch:2/80 Batch:16/106 Train Loss:1.2743
Epoch:2/80 Batch:17/106 Train Loss:1.1939
Epoch:2/80 Batch:18/106 Train Loss:1.3491
Epoch:2/80 Batch:19/106 Train Loss:1.0590
Epoch:2/80 Batch:20/106 Train Loss:1.1267
Epoch:2/80 Batch:21/106 Train Loss:1.0975
Epoch:2/80 Batch:22/106 Train Loss:1.2291
Epoch:2/80 Batch:23/106 Train Loss:1.2110
Epoch:2/80 Batch:24/106 Train Loss:1.3429
Epoch:2/80 Batch:25/106 Train Loss:1.3735
Epoch:2/80 Batch:26/106 Train Loss:1.1942
Epoch:2/80 Batch:27/106 Train Loss:1.0296
Epoch:2/80 Batch:28/106 Train Loss:1.0952
Epoch:2/80 Batch:29/106 Train Loss:1.4312
Epoch:2/80 Batch:30/106 Train Loss:1.0389
Epoch:2/80 Batch:31/106 Train Loss:1.1520
Epoch:2/80 Batch:32/106 Train Loss:1.1377
Epoch:2/80 Batch:33/106 Train Loss:1.2994
Epoch:2/80 Batch:34/106 Train Loss:1.2267
Epoch:2/80 Batch:35/106 Train Loss:1.1573
Epoch:2/80 Batch:36/106 Train Loss:1.3666
Time limit reached. Saving model 0.
Model 1 trained. Best validation accuracy: 0.5743 at Epoch 1. Total training time: 126.4920 minutes.
Extracting train features...
Extracting val features...
Training model 2/3
Epoch:1/80 Batch:1/106 Train Loss:5.8045
Epoch:1/80 Batch:2/106 Train Loss:4.5783
Epoch:1/80 Batch:3/106 Train Loss:3.4806
Epoch:1/80 Batch:4/106 Train Loss:3.2991
Epoch:1/80 Batch:5/106 Train Loss:3.6240
Epoch:1/80 Batch:6/106 Train Loss:2.8773
Epoch:1/80 Batch:7/106 Train Loss:2.3864
Epoch:1/80 Batch:8/106 Train Loss:2.5150
Epoch:1/80 Batch:9/106 Train Loss:2.7673
Epoch:1/80 Batch:10/106 Train Loss:2.6778
Epoch:1/80 Batch:11/106 Train Loss:2.5160
Epoch:1/80 Batch:12/106 Train Loss:2.2296
Epoch:1/80 Batch:13/106 Train Loss:1.9213
Epoch:1/80 Batch:14/106 Train Loss:1.9917
Epoch:1/80 Batch:15/106 Train Loss:1.9928
Epoch:1/80 Batch:16/106 Train Loss:1.9594
Epoch:1/80 Batch:17/106 Train Loss:2.0453
Epoch:1/80 Batch:18/106 Train Loss:1.7743
Epoch:1/80 Batch:19/106 Train Loss:2.1604
Epoch:1/80 Batch:20/106 Train Loss:1.5773
Epoch:1/80 Batch:21/106 Train Loss:1.9633
Epoch:1/80 Batch:22/106 Train Loss:2.1000
Epoch:1/80 Batch:23/106 Train Loss:2.0735
Epoch:1/80 Batch:24/106 Train Loss:1.8542
Epoch:1/80 Batch:25/106 Train Loss:1.5713
Epoch:1/80 Batch:26/106 Train Loss:1.6704
Epoch:1/80 Batch:27/106 Train Loss:2.0096
Epoch:1/80 Batch:28/106 Train Loss:1.6688
Epoch:1/80 Batch:29/106 Train Loss:1.9184
Epoch:1/80 Batch:30/106 Train Loss:1.4170
Epoch:1/80 Batch:31/106 Train Loss:1.7906
Epoch:1/80 Batch:32/106 Train Loss:1.5814
Epoch:1/80 Batch:33/106 Train Loss:1.8769
Epoch:1/80 Batch:34/106 Train Loss:1.6693
Epoch:1/80 Batch:35/106 Train Loss:1.5422
Epoch:1/80 Batch:36/106 Train Loss:1.7804
Epoch:1/80 Batch:37/106 Train Loss:1.7673
Epoch:1/80 Batch:38/106 Train Loss:1.5742
Epoch:1/80 Batch:39/106 Train Loss:1.4889
Epoch:1/80 Batch:40/106 Train Loss:1.5094
