Training model 1/3
Epoch:1/80 Batch:1/106 Train Loss:2.2431
Epoch:1/80 Batch:2/106 Train Loss:2.2659
Epoch:1/80 Batch:3/106 Train Loss:2.1361
Epoch:1/80 Batch:4/106 Train Loss:2.1669
Epoch:1/80 Batch:5/106 Train Loss:2.1822
Epoch:1/80 Batch:6/106 Train Loss:2.1398
Epoch:1/80 Batch:7/106 Train Loss:2.1438
Epoch:1/80 Batch:8/106 Train Loss:2.1309
Epoch:1/80 Batch:9/106 Train Loss:2.0646
Epoch:1/80 Batch:10/106 Train Loss:2.1483
Epoch:1/80 Batch:11/106 Train Loss:2.1468
Epoch:1/80 Batch:12/106 Train Loss:2.1526
Epoch:1/80 Batch:13/106 Train Loss:2.0532
Epoch:1/80 Batch:14/106 Train Loss:2.1125
Epoch:1/80 Batch:15/106 Train Loss:2.0798
Epoch:1/80 Batch:16/106 Train Loss:2.0642
Epoch:1/80 Batch:17/106 Train Loss:2.0606
Epoch:1/80 Batch:18/106 Train Loss:2.0345
Epoch:1/80 Batch:19/106 Train Loss:1.9751
Epoch:1/80 Batch:20/106 Train Loss:2.0041
Epoch:1/80 Batch:21/106 Train Loss:2.0254
Epoch:1/80 Batch:22/106 Train Loss:2.0562
Epoch:1/80 Batch:23/106 Train Loss:2.0420
Epoch:1/80 Batch:24/106 Train Loss:2.0482
Epoch:1/80 Batch:25/106 Train Loss:2.0136
Epoch:1/80 Batch:26/106 Train Loss:2.0717
Epoch:1/80 Batch:27/106 Train Loss:1.9838
Epoch:1/80 Batch:28/106 Train Loss:1.9686
Epoch:1/80 Batch:29/106 Train Loss:2.0223
Epoch:1/80 Batch:30/106 Train Loss:1.9458
Epoch:1/80 Batch:31/106 Train Loss:1.9065
Epoch:1/80 Batch:32/106 Train Loss:1.9077
Epoch:1/80 Batch:33/106 Train Loss:2.0419
Epoch:1/80 Batch:34/106 Train Loss:1.8039
Epoch:1/80 Batch:35/106 Train Loss:1.9032
Epoch:1/80 Batch:36/106 Train Loss:1.7966
Epoch:1/80 Batch:37/106 Train Loss:2.0483
Epoch:1/80 Batch:38/106 Train Loss:2.0308
Epoch:1/80 Batch:39/106 Train Loss:1.8352
Epoch:1/80 Batch:40/106 Train Loss:1.8966
Epoch:1/80 Batch:41/106 Train Loss:1.8127
Epoch:1/80 Batch:42/106 Train Loss:1.8724
Epoch:1/80 Batch:43/106 Train Loss:2.0155
Epoch:1/80 Batch:44/106 Train Loss:1.9465
Epoch:1/80 Batch:45/106 Train Loss:1.8978
Epoch:1/80 Batch:46/106 Train Loss:1.7297
Epoch:1/80 Batch:47/106 Train Loss:1.7810
Epoch:1/80 Batch:48/106 Train Loss:2.0307
Epoch:1/80 Batch:49/106 Train Loss:1.8705
Epoch:1/80 Batch:50/106 Train Loss:1.9005
Epoch:1/80 Batch:51/106 Train Loss:1.9260
Epoch:1/80 Batch:52/106 Train Loss:1.8631
Epoch:1/80 Batch:53/106 Train Loss:1.8951
Epoch:1/80 Batch:54/106 Train Loss:1.8883
Epoch:1/80 Batch:55/106 Train Loss:1.7722
Epoch:1/80 Batch:56/106 Train Loss:1.9572
Epoch:1/80 Batch:57/106 Train Loss:1.8333
Epoch:1/80 Batch:58/106 Train Loss:1.8817
Epoch:1/80 Batch:59/106 Train Loss:1.9340
Epoch:1/80 Batch:60/106 Train Loss:2.0098
Epoch:1/80 Batch:61/106 Train Loss:1.8739
Epoch:1/80 Batch:62/106 Train Loss:1.8436
Epoch:1/80 Batch:63/106 Train Loss:1.8019
Epoch:1/80 Batch:64/106 Train Loss:1.8848
Epoch:1/80 Batch:65/106 Train Loss:1.7911
Epoch:1/80 Batch:66/106 Train Loss:1.9997
Epoch:1/80 Batch:67/106 Train Loss:1.8333
Epoch:1/80 Batch:68/106 Train Loss:1.9475
Epoch:1/80 Batch:69/106 Train Loss:1.7709
Epoch:1/80 Batch:70/106 Train Loss:1.8390
