Training model 1/3
Epoch:1/80 Batch:1/150 Train Loss:2.0317
Epoch:1/80 Batch:2/150 Train Loss:1.2756
Epoch:1/80 Batch:3/150 Train Loss:1.1152
Epoch:1/80 Batch:4/150 Train Loss:1.1431
Epoch:1/80 Batch:5/150 Train Loss:1.0923
Epoch:1/80 Batch:6/150 Train Loss:0.5585
Epoch:1/80 Batch:7/150 Train Loss:1.7952
Epoch:1/80 Batch:8/150 Train Loss:0.7931
Epoch:1/80 Batch:9/150 Train Loss:0.8634
Epoch:1/80 Batch:10/150 Train Loss:0.7913
Epoch:1/80 Batch:11/150 Train Loss:0.7692
Epoch:1/80 Batch:12/150 Train Loss:0.8976
Epoch:1/80 Batch:13/150 Train Loss:0.7083
Epoch:1/80 Batch:14/150 Train Loss:0.6140
Epoch:1/80 Batch:15/150 Train Loss:1.2961
Epoch:1/80 Batch:16/150 Train Loss:0.9726
Epoch:1/80 Batch:17/150 Train Loss:0.9354
Epoch:1/80 Batch:18/150 Train Loss:0.6011
Epoch:1/80 Batch:19/150 Train Loss:0.9551
Epoch:1/80 Batch:20/150 Train Loss:0.8048
Epoch:1/80 Batch:21/150 Train Loss:0.7496
Epoch:1/80 Batch:22/150 Train Loss:0.6964
Epoch:1/80 Batch:23/150 Train Loss:0.5871
Epoch:1/80 Batch:24/150 Train Loss:0.7043
Epoch:1/80 Batch:25/150 Train Loss:0.7114
Epoch:1/80 Batch:26/150 Train Loss:0.5991
Epoch:1/80 Batch:27/150 Train Loss:0.9300
Epoch:1/80 Batch:28/150 Train Loss:0.6294
Epoch:1/80 Batch:29/150 Train Loss:0.5538
Epoch:1/80 Batch:30/150 Train Loss:0.7883
Epoch:1/80 Batch:31/150 Train Loss:0.7446
Epoch:1/80 Batch:32/150 Train Loss:0.9380
Epoch:1/80 Batch:33/150 Train Loss:0.6923
Epoch:1/80 Batch:34/150 Train Loss:0.7330
Epoch:1/80 Batch:35/150 Train Loss:0.7879
Epoch:1/80 Batch:36/150 Train Loss:1.1263
Epoch:1/80 Batch:37/150 Train Loss:0.6325
Epoch:1/80 Batch:38/150 Train Loss:0.8630
Epoch:1/80 Batch:39/150 Train Loss:0.8811
Epoch:1/80 Batch:40/150 Train Loss:0.7435
Epoch:1/80 Batch:41/150 Train Loss:0.7531
Epoch:1/80 Batch:42/150 Train Loss:0.7858
Epoch:1/80 Batch:43/150 Train Loss:0.7516
Epoch:1/80 Batch:44/150 Train Loss:0.5465
Epoch:1/80 Batch:45/150 Train Loss:0.7763
Epoch:1/80 Batch:46/150 Train Loss:0.7302
Epoch:1/80 Batch:47/150 Train Loss:0.7043
Epoch:1/80 Batch:48/150 Train Loss:0.6211
Epoch:1/80 Batch:49/150 Train Loss:0.7651
Epoch:1/80 Batch:50/150 Train Loss:0.7865
Epoch:1/80 Batch:51/150 Train Loss:0.8857
Epoch:1/80 Batch:52/150 Train Loss:0.6906
Epoch:1/80 Batch:53/150 Train Loss:0.6425
Epoch:1/80 Batch:54/150 Train Loss:0.6269
Epoch:1/80 Batch:55/150 Train Loss:0.5541
Epoch:1/80 Batch:56/150 Train Loss:0.5113
Epoch:1/80 Batch:57/150 Train Loss:0.6524
Epoch:1/80 Batch:58/150 Train Loss:0.5418
Epoch:1/80 Batch:59/150 Train Loss:0.5670
Epoch:1/80 Batch:60/150 Train Loss:0.8576
Epoch:1/80 Batch:61/150 Train Loss:0.8106
Epoch:1/80 Batch:62/150 Train Loss:0.7063
Epoch:1/80 Batch:63/150 Train Loss:0.5574
Epoch:1/80 Batch:64/150 Train Loss:0.5312
Epoch:1/80 Batch:65/150 Train Loss:0.6681
Epoch:1/80 Batch:66/150 Train Loss:0.5653
Epoch:1/80 Batch:67/150 Train Loss:0.6148
Epoch:1/80 Batch:68/150 Train Loss:0.8761
Epoch:1/80 Batch:69/150 Train Loss:0.6175
Epoch:1/80 Batch:70/150 Train Loss:0.7161
Epoch:1/80 Batch:71/150 Train Loss:0.8110
Epoch:1/80 Batch:72/150 Train Loss:0.6058
Epoch:1/80 Batch:73/150 Train Loss:0.6280
Epoch:1/80 Batch:74/150 Train Loss:0.5818
Epoch:1/80 Batch:75/150 Train Loss:0.4383
Epoch:1/80 Batch:76/150 Train Loss:0.4458
Epoch:1/80 Batch:77/150 Train Loss:0.5465
Epoch:1/80 Batch:78/150 Train Loss:0.5996
Epoch:1/80 Batch:79/150 Train Loss:0.5165
Epoch:1/80 Batch:80/150 Train Loss:0.4492
Epoch:1/80 Batch:81/150 Train Loss:0.6976
Epoch:1/80 Batch:82/150 Train Loss:0.6638
Epoch:1/80 Batch:83/150 Train Loss:0.2907
Epoch:1/80 Batch:84/150 Train Loss:0.6625
Epoch:1/80 Batch:85/150 Train Loss:0.5376
Epoch:1/80 Batch:86/150 Train Loss:0.5113
Epoch:1/80 Batch:87/150 Train Loss:0.5557
Epoch:1/80 Batch:88/150 Train Loss:0.5870
Epoch:1/80 Batch:89/150 Train Loss:0.4377
Epoch:1/80 Batch:90/150 Train Loss:0.4688
Epoch:1/80 Batch:91/150 Train Loss:0.4561
Epoch:1/80 Batch:92/150 Train Loss:0.5661
Epoch:1/80 Batch:93/150 Train Loss:0.6965
Epoch:1/80 Batch:94/150 Train Loss:0.7206
Epoch:1/80 Batch:95/150 Train Loss:0.4654
Epoch:1/80 Batch:96/150 Train Loss:0.4319
Epoch:1/80 Batch:97/150 Train Loss:0.5860
Epoch:1/80 Batch:98/150 Train Loss:0.7463
Epoch:1/80 Batch:99/150 Train Loss:0.4423
Epoch:1/80 Batch:100/150 Train Loss:0.7509
Epoch:1/80 Batch:101/150 Train Loss:0.5993
Epoch:1/80 Batch:102/150 Train Loss:0.5633
Epoch:1/80 Batch:103/150 Train Loss:0.6329
Epoch:1/80 Batch:104/150 Train Loss:0.5981
Epoch:1/80 Batch:105/150 Train Loss:0.5984
Epoch:1/80 Batch:106/150 Train Loss:0.5087
Epoch:1/80 Batch:107/150 Train Loss:0.5551
Epoch:1/80 Batch:108/150 Train Loss:0.5294
Epoch:1/80 Batch:109/150 Train Loss:0.5881
Epoch:1/80 Batch:110/150 Train Loss:0.6317
Epoch:1/80 Batch:111/150 Train Loss:0.5768
Epoch:1/80 Batch:112/150 Train Loss:0.5036
Epoch:1/80 Batch:113/150 Train Loss:0.6992
Epoch:1/80 Batch:114/150 Train Loss:0.7914
Epoch:1/80 Batch:115/150 Train Loss:0.4720
Epoch:1/80 Batch:116/150 Train Loss:0.6646
Epoch:1/80 Batch:117/150 Train Loss:0.7353
Epoch:1/80 Batch:118/150 Train Loss:0.7339
Epoch:1/80 Batch:119/150 Train Loss:0.5150
Epoch:1/80 Batch:120/150 Train Loss:0.6785
Epoch:1/80 Batch:121/150 Train Loss:0.6175
Epoch:1/80 Batch:122/150 Train Loss:0.6946
Epoch:1/80 Batch:123/150 Train Loss:0.5418
Epoch:1/80 Batch:124/150 Train Loss:0.6929
Epoch:1/80 Batch:125/150 Train Loss:0.4524
Epoch:1/80 Batch:126/150 Train Loss:0.7223
Epoch:1/80 Batch:127/150 Train Loss:0.9241
Epoch:1/80 Batch:128/150 Train Loss:0.5554
Epoch:1/80 Batch:129/150 Train Loss:0.5815
Epoch:1/80 Batch:130/150 Train Loss:0.4756
Epoch:1/80 Batch:131/150 Train Loss:0.6883
Epoch:1/80 Batch:132/150 Train Loss:0.6541
Epoch:1/80 Batch:133/150 Train Loss:0.5309
Epoch:1/80 Batch:134/150 Train Loss:0.5425
Epoch:1/80 Batch:135/150 Train Loss:0.4648
Epoch:1/80 Batch:136/150 Train Loss:0.4712
Epoch:1/80 Batch:137/150 Train Loss:0.4558
Epoch:1/80 Batch:138/150 Train Loss:0.4908
Epoch:1/80 Batch:139/150 Train Loss:0.5870
Epoch:1/80 Batch:140/150 Train Loss:0.6604
Epoch:1/80 Batch:141/150 Train Loss:0.5852
Epoch:1/80 Batch:142/150 Train Loss:0.5979
Epoch:1/80 Batch:143/150 Train Loss:0.5780
Epoch:1/80 Batch:144/150 Train Loss:0.6219
Epoch:1/80 Batch:145/150 Train Loss:0.8275
Epoch:1/80 Batch:146/150 Train Loss:0.5084
Epoch:1/80 Batch:147/150 Train Loss:0.4909
Epoch:1/80 Batch:148/150 Train Loss:0.6883
Epoch:1/80 Batch:149/150 Train Loss:0.6614
Epoch:1/80 Batch:150/150 Train Loss:0.8510
Epoch:2/80 Batch:1/150 Train Loss:0.4092
Epoch:2/80 Batch:2/150 Train Loss:0.5188
Epoch:2/80 Batch:3/150 Train Loss:0.7238
Epoch:2/80 Batch:4/150 Train Loss:0.4597
Epoch:2/80 Batch:5/150 Train Loss:0.6348
Epoch:2/80 Batch:6/150 Train Loss:0.4826
Epoch:2/80 Batch:7/150 Train Loss:0.8002
Epoch:2/80 Batch:8/150 Train Loss:0.5052
Epoch:2/80 Batch:9/150 Train Loss:0.5688
Epoch:2/80 Batch:10/150 Train Loss:0.6900
Epoch:2/80 Batch:11/150 Train Loss:0.5711
Epoch:2/80 Batch:12/150 Train Loss:0.5864
Epoch:2/80 Batch:13/150 Train Loss:0.6780
Epoch:2/80 Batch:14/150 Train Loss:0.4722
Epoch:2/80 Batch:15/150 Train Loss:0.6333
Epoch:2/80 Batch:16/150 Train Loss:0.5237
Epoch:2/80 Batch:17/150 Train Loss:0.5712
Epoch:2/80 Batch:18/150 Train Loss:0.4748
Epoch:2/80 Batch:19/150 Train Loss:0.7881
Epoch:2/80 Batch:20/150 Train Loss:0.6164
Epoch:2/80 Batch:21/150 Train Loss:0.5331
Epoch:2/80 Batch:22/150 Train Loss:0.7627
Epoch:2/80 Batch:23/150 Train Loss:0.5659
Epoch:2/80 Batch:24/150 Train Loss:0.6395
Epoch:2/80 Batch:25/150 Train Loss:0.5955
Epoch:2/80 Batch:26/150 Train Loss:0.5565
Epoch:2/80 Batch:27/150 Train Loss:0.7147
Epoch:2/80 Batch:28/150 Train Loss:0.6034
Epoch:2/80 Batch:29/150 Train Loss:0.5404
Epoch:2/80 Batch:30/150 Train Loss:0.5809
Epoch:2/80 Batch:31/150 Train Loss:0.5423
Epoch:2/80 Batch:32/150 Train Loss:0.4199
Epoch:2/80 Batch:33/150 Train Loss:0.5531
Epoch:2/80 Batch:34/150 Train Loss:0.6831
Epoch:2/80 Batch:35/150 Train Loss:0.4927
Epoch:2/80 Batch:36/150 Train Loss:0.7765
Epoch:2/80 Batch:37/150 Train Loss:0.4760
Epoch:2/80 Batch:38/150 Train Loss:0.7041
Epoch:2/80 Batch:39/150 Train Loss:0.6416
Epoch:2/80 Batch:40/150 Train Loss:0.6258
Epoch:2/80 Batch:41/150 Train Loss:0.4764
Epoch:2/80 Batch:42/150 Train Loss:0.4902
Epoch:2/80 Batch:43/150 Train Loss:0.6663
Epoch:2/80 Batch:44/150 Train Loss:0.7640
Epoch:2/80 Batch:45/150 Train Loss:0.5149
Epoch:2/80 Batch:46/150 Train Loss:0.4879
Time limit reached. Saving model 0.
Model 1 trained. Best validation accuracy: 0.7948 at Epoch 1. Total training time: 126.4569 minutes.
Extracting train features...
Extracting val features...
Training model 2/3
Epoch:1/80 Batch:1/150 Train Loss:4.1684
Epoch:1/80 Batch:2/150 Train Loss:2.3486
Epoch:1/80 Batch:3/150 Train Loss:2.0140
Epoch:1/80 Batch:4/150 Train Loss:1.4188
Epoch:1/80 Batch:5/150 Train Loss:1.5561
Epoch:1/80 Batch:6/150 Train Loss:2.6534
Epoch:1/80 Batch:7/150 Train Loss:1.5442
Epoch:1/80 Batch:8/150 Train Loss:1.9885
Epoch:1/80 Batch:9/150 Train Loss:1.4167
Epoch:1/80 Batch:10/150 Train Loss:1.2020
Epoch:1/80 Batch:11/150 Train Loss:2.3028
Epoch:1/80 Batch:12/150 Train Loss:1.2544
Epoch:1/80 Batch:13/150 Train Loss:1.1706
Epoch:1/80 Batch:14/150 Train Loss:1.3751
Epoch:1/80 Batch:15/150 Train Loss:1.5023
Epoch:1/80 Batch:16/150 Train Loss:1.2711
Epoch:1/80 Batch:17/150 Train Loss:0.8891
Epoch:1/80 Batch:18/150 Train Loss:1.4228
Epoch:1/80 Batch:19/150 Train Loss:1.1352
Epoch:1/80 Batch:20/150 Train Loss:1.0026
Epoch:1/80 Batch:21/150 Train Loss:1.0414
Epoch:1/80 Batch:22/150 Train Loss:1.0224
Epoch:1/80 Batch:23/150 Train Loss:0.7872
Epoch:1/80 Batch:24/150 Train Loss:1.2682
Epoch:1/80 Batch:25/150 Train Loss:1.0087
Epoch:1/80 Batch:26/150 Train Loss:0.8815
Epoch:1/80 Batch:27/150 Train Loss:0.9910
Epoch:1/80 Batch:28/150 Train Loss:1.1544
Epoch:1/80 Batch:29/150 Train Loss:0.8225
Epoch:1/80 Batch:30/150 Train Loss:1.1433
Epoch:1/80 Batch:31/150 Train Loss:0.8566
Epoch:1/80 Batch:32/150 Train Loss:0.6951
Epoch:1/80 Batch:33/150 Train Loss:0.7713
Epoch:1/80 Batch:34/150 Train Loss:0.8257
Epoch:1/80 Batch:35/150 Train Loss:0.8234
Epoch:1/80 Batch:36/150 Train Loss:1.0781
Epoch:1/80 Batch:37/150 Train Loss:0.7821
Epoch:1/80 Batch:38/150 Train Loss:0.7974
Epoch:1/80 Batch:39/150 Train Loss:0.8824
Epoch:1/80 Batch:40/150 Train Loss:0.8433
Epoch:1/80 Batch:41/150 Train Loss:0.9607
Epoch:1/80 Batch:42/150 Train Loss:0.8817
Epoch:1/80 Batch:43/150 Train Loss:0.8330
Epoch:1/80 Batch:44/150 Train Loss:0.9502
Epoch:1/80 Batch:45/150 Train Loss:0.7467
Epoch:1/80 Batch:46/150 Train Loss:0.6629
Epoch:1/80 Batch:47/150 Train Loss:0.9115
Epoch:1/80 Batch:48/150 Train Loss:0.7067
Epoch:1/80 Batch:49/150 Train Loss:0.9292
Epoch:1/80 Batch:50/150 Train Loss:0.7824
Epoch:1/80 Batch:51/150 Train Loss:0.7917
Epoch:1/80 Batch:52/150 Train Loss:0.8909
Epoch:1/80 Batch:53/150 Train Loss:0.9415
Epoch:1/80 Batch:54/150 Train Loss:0.7699
