Training model 1/3
Epoch:1/80 Batch:1/150 Train Loss:2.1755
Epoch:1/80 Batch:2/150 Train Loss:1.6132
Epoch:1/80 Batch:3/150 Train Loss:1.4108
Epoch:1/80 Batch:4/150 Train Loss:0.9936
Epoch:1/80 Batch:5/150 Train Loss:1.1813
Epoch:1/80 Batch:6/150 Train Loss:1.0893
Epoch:1/80 Batch:7/150 Train Loss:1.1467
Epoch:1/80 Batch:8/150 Train Loss:0.7483
Epoch:1/80 Batch:9/150 Train Loss:0.9238
Epoch:1/80 Batch:10/150 Train Loss:1.0648
Epoch:1/80 Batch:11/150 Train Loss:0.7444
Epoch:1/80 Batch:12/150 Train Loss:1.3240
Epoch:1/80 Batch:13/150 Train Loss:0.7173
Epoch:1/80 Batch:14/150 Train Loss:0.6777
Epoch:1/80 Batch:15/150 Train Loss:0.7273
Epoch:1/80 Batch:16/150 Train Loss:0.7906
Epoch:1/80 Batch:17/150 Train Loss:0.7247
Epoch:1/80 Batch:18/150 Train Loss:0.9804
Epoch:1/80 Batch:19/150 Train Loss:0.8155
Epoch:1/80 Batch:20/150 Train Loss:0.7988
Epoch:1/80 Batch:21/150 Train Loss:0.6829
Epoch:1/80 Batch:22/150 Train Loss:1.2948
Epoch:1/80 Batch:23/150 Train Loss:0.7911
Epoch:1/80 Batch:24/150 Train Loss:0.5163
Epoch:1/80 Batch:25/150 Train Loss:0.7728
Epoch:1/80 Batch:26/150 Train Loss:0.7442
Epoch:1/80 Batch:27/150 Train Loss:0.7759
Epoch:1/80 Batch:28/150 Train Loss:0.7038
Epoch:1/80 Batch:29/150 Train Loss:1.1228
Epoch:1/80 Batch:30/150 Train Loss:0.8340
Epoch:1/80 Batch:31/150 Train Loss:0.8991
Epoch:1/80 Batch:32/150 Train Loss:0.6287
Epoch:1/80 Batch:33/150 Train Loss:0.9159
Epoch:1/80 Batch:34/150 Train Loss:0.7286
Epoch:1/80 Batch:35/150 Train Loss:0.7759
Epoch:1/80 Batch:36/150 Train Loss:0.7450
Epoch:1/80 Batch:37/150 Train Loss:0.8030
Epoch:1/80 Batch:38/150 Train Loss:0.6711
Epoch:1/80 Batch:39/150 Train Loss:0.5117
Epoch:1/80 Batch:40/150 Train Loss:0.7316
Epoch:1/80 Batch:41/150 Train Loss:0.5409
Epoch:1/80 Batch:42/150 Train Loss:0.8210
Epoch:1/80 Batch:43/150 Train Loss:0.6665
Epoch:1/80 Batch:44/150 Train Loss:0.8661
Epoch:1/80 Batch:45/150 Train Loss:0.6709
Epoch:1/80 Batch:46/150 Train Loss:0.6071
Epoch:1/80 Batch:47/150 Train Loss:0.5651
Epoch:1/80 Batch:48/150 Train Loss:0.7299
Epoch:1/80 Batch:49/150 Train Loss:0.6314
Epoch:1/80 Batch:50/150 Train Loss:0.6573
Epoch:1/80 Batch:51/150 Train Loss:0.6139
Epoch:1/80 Batch:52/150 Train Loss:0.6254
Epoch:1/80 Batch:53/150 Train Loss:0.5801
Epoch:1/80 Batch:54/150 Train Loss:0.6750
Epoch:1/80 Batch:55/150 Train Loss:0.7831
Epoch:1/80 Batch:56/150 Train Loss:0.5703
Epoch:1/80 Batch:57/150 Train Loss:0.7353
Epoch:1/80 Batch:58/150 Train Loss:0.6079
Epoch:1/80 Batch:59/150 Train Loss:0.5157
Epoch:1/80 Batch:60/150 Train Loss:0.5847
Epoch:1/80 Batch:61/150 Train Loss:0.6550
Epoch:1/80 Batch:62/150 Train Loss:0.6266
Epoch:1/80 Batch:63/150 Train Loss:0.7448
Epoch:1/80 Batch:64/150 Train Loss:1.0303
Epoch:1/80 Batch:65/150 Train Loss:0.7995
Epoch:1/80 Batch:66/150 Train Loss:0.6828
Epoch:1/80 Batch:67/150 Train Loss:0.7164
Epoch:1/80 Batch:68/150 Train Loss:0.7561
Epoch:1/80 Batch:69/150 Train Loss:0.5901
Epoch:1/80 Batch:70/150 Train Loss:0.5857
Epoch:1/80 Batch:71/150 Train Loss:0.8374
Epoch:1/80 Batch:72/150 Train Loss:0.6127
Epoch:1/80 Batch:73/150 Train Loss:0.6742
Epoch:1/80 Batch:74/150 Train Loss:0.7007
Epoch:1/80 Batch:75/150 Train Loss:0.6980
Epoch:1/80 Batch:76/150 Train Loss:0.5785
Epoch:1/80 Batch:77/150 Train Loss:0.6587
Epoch:1/80 Batch:78/150 Train Loss:0.5521
Epoch:1/80 Batch:79/150 Train Loss:0.7332
Epoch:1/80 Batch:80/150 Train Loss:0.5274
Epoch:1/80 Batch:81/150 Train Loss:0.5543
Epoch:1/80 Batch:82/150 Train Loss:0.7532
Epoch:1/80 Batch:83/150 Train Loss:0.6174
Epoch:1/80 Batch:84/150 Train Loss:0.6158
Epoch:1/80 Batch:85/150 Train Loss:0.4778
Epoch:1/80 Batch:86/150 Train Loss:0.6551
Epoch:1/80 Batch:87/150 Train Loss:0.6216
