Training model 1/3
Epoch:1/80 Batch:1/150 Train Loss:11.6936
Epoch:1/80 Batch:2/150 Train Loss:8.2829
Epoch:1/80 Batch:3/150 Train Loss:9.9258
Epoch:1/80 Batch:4/150 Train Loss:7.3976
Epoch:1/80 Batch:5/150 Train Loss:5.9710
Epoch:1/80 Batch:6/150 Train Loss:5.7041
Epoch:1/80 Batch:7/150 Train Loss:4.2618
Epoch:1/80 Batch:8/150 Train Loss:4.6188
Epoch:1/80 Batch:9/150 Train Loss:4.5238
Epoch:1/80 Batch:10/150 Train Loss:2.9201
Epoch:1/80 Batch:11/150 Train Loss:3.0361
Epoch:1/80 Batch:12/150 Train Loss:3.0785
Epoch:1/80 Batch:13/150 Train Loss:2.5417
Epoch:1/80 Batch:14/150 Train Loss:2.8517
Epoch:1/80 Batch:15/150 Train Loss:2.0156
Epoch:1/80 Batch:16/150 Train Loss:1.8633
Epoch:1/80 Batch:17/150 Train Loss:2.4017
Epoch:1/80 Batch:18/150 Train Loss:1.7838
Epoch:1/80 Batch:19/150 Train Loss:1.6612
Epoch:1/80 Batch:20/150 Train Loss:1.8549
Epoch:1/80 Batch:21/150 Train Loss:1.6043
Epoch:1/80 Batch:22/150 Train Loss:1.8649
Epoch:1/80 Batch:23/150 Train Loss:1.6860
Epoch:1/80 Batch:24/150 Train Loss:1.4374
Epoch:1/80 Batch:25/150 Train Loss:2.2852
Epoch:1/80 Batch:26/150 Train Loss:1.3373
Epoch:1/80 Batch:27/150 Train Loss:1.4647
Epoch:1/80 Batch:28/150 Train Loss:1.7097
Epoch:1/80 Batch:29/150 Train Loss:1.9884
Epoch:1/80 Batch:30/150 Train Loss:1.6735
Epoch:1/80 Batch:31/150 Train Loss:1.4925
Epoch:1/80 Batch:32/150 Train Loss:1.2379
Epoch:1/80 Batch:33/150 Train Loss:1.5584
Epoch:1/80 Batch:34/150 Train Loss:1.0998
Epoch:1/80 Batch:35/150 Train Loss:1.1869
Epoch:1/80 Batch:36/150 Train Loss:1.1559
Epoch:1/80 Batch:37/150 Train Loss:1.2575
Epoch:1/80 Batch:38/150 Train Loss:1.1622
Epoch:1/80 Batch:39/150 Train Loss:1.4231
Epoch:1/80 Batch:40/150 Train Loss:1.3528
Epoch:1/80 Batch:41/150 Train Loss:1.2912
Epoch:1/80 Batch:42/150 Train Loss:1.3320
Epoch:1/80 Batch:43/150 Train Loss:1.3087
Epoch:1/80 Batch:44/150 Train Loss:1.1783
Epoch:1/80 Batch:45/150 Train Loss:1.3051
Epoch:1/80 Batch:46/150 Train Loss:1.2471
Epoch:1/80 Batch:47/150 Train Loss:1.2829
Epoch:1/80 Batch:48/150 Train Loss:1.2269
Epoch:1/80 Batch:49/150 Train Loss:1.2895
Epoch:1/80 Batch:50/150 Train Loss:1.2189
Epoch:1/80 Batch:51/150 Train Loss:1.1804
Epoch:1/80 Batch:52/150 Train Loss:1.1511
Epoch:1/80 Batch:53/150 Train Loss:1.1301
